TCGA-BH-A0HX-01A-21R-A056-07	TCGA-AO-A0J7-01A-11R-A034-07	TCGA-A2-A25F-01A-11R-A169-07	TCGA-AR-A0U3-01A-11R-A109-07	TCGA-A2-A259-01A-11R-A16F-07	TCGA-AN-A0AJ-01A-11R-A00Z-07	TCGA-E9-A6HE-01A-11R-A31O-07	TCGA-EW-A1P3-01A-11R-A144-07	TCGA-E2-A1LI-01A-12R-A157-07	TCGA-HN-A2OB-01A-21R-A27Q-07	TCGA-BH-A0DL-01A-11R-A115-07	TCGA-E9-A227-01A-11R-A157-07	TCGA-E2-A1IL-01A-11R-A14D-07	TCGA-C8-A1HK-01A-21R-A13Q-07	TCGA-AC-A7VC-01A-11R-A352-07	TCGA-OL-A66H-01A-11R-A29R-07	TCGA-A8-A0A2-01A-11R-A034-07	TCGA-E2-A15R-01A-11R-A115-07	TCGA-A2-A3XX-01A-21R-A239-07	TCGA-D8-A13Y-01A-11R-A115-07	TCGA-AN-A0XV-01A-11R-A109-07	TCGA-AO-A128-01A-11R-A10J-07	TCGA-A8-A09M-01A-11R-A00Z-07	TCGA-AO-A03T-01A-21R-A034-07	TCGA-BH-A0DZ-01A-11R-A00Z-07	TCGA-E2-A56Z-01A-12R-A29R-07	TCGA-BH-A0HO-01A-11R-A034-07	TCGA-A2-A25B-01A-11R-A169-07	TCGA-A2-A1FW-01A-11R-A13Q-07	TCGA-AO-A1KP-01A-11R-A13Q-07	TCGA-BH-A0B3-01A-11R-A056-07	TCGA-BH-A1F6-01A-11R-A13Q-07	TCGA-EW-A1P6-01A-11R-A144-07	TCGA-A8-A08B-01A-11R-A00Z-07	TCGA-B6-A409-01A-11R-A24H-07	TCGA-BH-A0BS-01A-11R-A12P-07	TCGA-A7-A2KD-01A-31R-A21T-07	TCGA-C8-A278-01A-11R-A169-07	TCGA-AQ-A54N-01A-11R-A266-07	TCGA-AC-A2FO-01A-11R-A180-07	TCGA-A2-A4S3-01A-21R-A266-07	TCGA-AO-A1KQ-01A-11R-A13Q-07	TCGA-AO-A12B-01A-11R-A10J-07	TCGA-A8-A07O-01A-11R-A00Z-07	TCGA-E2-A1LH-01A-11R-A14D-07	TCGA-A8-A09T-01A-11R-A00Z-07	TCGA-A8-A0A7-01A-11R-A00Z-07	TCGA-A8-A07I-01A-11R-A00Z-07	TCGA-EW-A3E8-01B-11R-A24H-07	TCGA-AC-A3W7-01A-11R-A22K-07	TCGA-D8-A143-01A-11R-A115-07	TCGA-BH-A18F-01A-11R-A12D-07	TCGA-BH-A0W4-01A-11R-A109-07	TCGA-D8-A1XS-01A-11R-A14M-07	TCGA-BH-A0BA-01A-11R-A056-07	TCGA-A2-A3XS-01A-11R-A22U-07	TCGA-A8-A07S-01A-11R-A034-07	TCGA-LL-A73Z-01A-11R-A32P-07	TCGA-BH-A0HB-01A-11R-A056-07	TCGA-D8-A1XG-01A-11R-A14D-07	TCGA-AN-A0XN-01A-21R-A109-07	TCGA-D8-A1JD-01A-11R-A13Q-07	TCGA-A8-A08L-01A-11R-A00Z-07	TCGA-GM-A2DN-01A-11R-A180-07	TCGA-BH-A18V-01A-11R-A12D-07	TCGA-D8-A146-01A-31R-A115-07	TCGA-A7-A3RF-01A-11R-A22K-07	TCGA-A8-A06N-01A-11R-A00Z-07	TCGA-D8-A141-01A-11R-A115-07	TCGA-AN-A041-01A-11R-A034-07	TCGA-A7-A26J-01A-11R-A277-07	TCGA-E2-A106-01A-11R-A10J-07	TCGA-C8-A135-01A-11R-A115-07	TCGA-BH-A0GY-01A-11R-A056-07	TCGA-D8-A4Z1-01A-21R-A266-07	TCGA-E9-A1NA-01A-11R-A144-07	TCGA-A2-A0CP-01A-11R-A034-07	TCGA-BH-A0BZ-01A-31R-A12P-07	TCGA-Z7-A8R5-01A-42R-A41B-07	TCGA-AC-A3TN-01A-11R-A22K-07	TCGA-AO-A0JF-01A-11R-A056-07	TCGA-AC-A2QH-01B-04R-A22O-07	TCGA-C8-A12V-01A-11R-A115-07	TCGA-AR-A24S-01A-11R-A169-07	TCGA-A8-A08Z-01A-21R-A00Z-07	TCGA-B6-A1KI-01A-11R-A14M-07	TCGA-LL-A9Q3-01A-11R-A41B-07	TCGA-A8-A08F-01A-11R-A00Z-07	TCGA-D8-A1Y1-01A-21R-A14M-07	TCGA-GM-A2DL-01A-11R-A18M-07	TCGA-AO-A03U-01B-21R-A10J-07	TCGA-BH-A0BW-01A-11R-A115-07	TCGA-D8-A73U-01A-11R-A33J-07	TCGA-AN-A0XR-01A-11R-A109-07	TCGA-AN-A0FY-01A-11R-A034-07	TCGA-AN-A0AK-01A-21R-A00Z-07	TCGA-BH-A1FC-01A-11R-A13Q-07	TCGA-A8-A08R-01A-11R-A034-07	TCGA-D8-A3Z6-01A-11R-A239-07	TCGA-A1-A0SP-01A-11R-A084-07 
ENSG00000187735.13	579367	647670	811511	648119	1030822	1500102	272996	257263	1328652	275294	890613	539491	339823	576341	336758	429518	803185	1437008	516440	1160055	550006	690773	395012	481389	534970	476772	655277	650969	1199251	1437986	511821	345062	886766	159149	834840	582659	722592	780358	231599	446981	929798	455857	399991	1697983	288342	390085	702059	253944	473420	420944	388663	387725	493554	1700150	522285	625564	406657	427318	688616	272458	377927	835374	560663	492848	324490	457158	345239	2443938	447174	320753	567104	521266	423194	393814	260777	382795	358052	644956	205922	509534	549823	141063	312953	911918	380045	635438	340880	286675	965674	352688	332169	409549	183715	313045	992201	499873	1725231	1057615	352016	1099649
ENSG00000157654.17	411841	139583	2003260	148007	1043709	246626	112114	229511	912541	479517	365229	638961	369875	225215	359875	191977	314366	949900	367178	367370	578602	658798	185812	278613	137791	264462	331291	409466	1229472	578992	420557	338936	162693	93234	262176	312797	400352	536159	111276	590475	105566	125919	143328	382522	256249	79725	617096	371354	611115	346599	354725	716727	655084	429631	584179	568370	2363711	414618	163597	510865	538988	470183	331322	489400	1027419	579895	249422	1214503	556128	438684	252018	198672	411475	397166	334264	205637	225148	480555	182598	97262	796625	407598	484146	741494	466697	738875	86025	260438	382233	333542	713843	420013	350819	89903	241085	142072	643068	2332443	330920	532407
ENSG00000100647.7	535993	726864	1175403	649984	1691157	565517	437724	341422	513143	683972	1807406	853020	635713	345795	184235	672342	2183649	664568	427775	413901	699660	863388	415331	201560	416274	195311	872490	464094	1028242	400579	507022	393323	531240	369551	302227	1066488	759962	658258	147022	723959	194075	187160	516350	554532	232288	288029	605554	858571	854493	1039898	355785	807159	1296748	798961	946238	529075	1056800	382055	464554	1076729	616009	1457470	464798	971730	1202814	1128970	1075096	1279092	1286685	1034993	232625	444857	457184	502963	550994	948137	490127	659303	347196	385776	783728	114183	534216	1056215	1218785	904304	366253	404481	1117884	602646	1772501	634022	652842	534588	1171808	206569	520456	683805	1175403	426217
ENSG00000070193.4	8249	1197	23618	76690	20398	2054	4624	218118	769	41968	0	722431	123888	1176	1955	1066	19788	3550	2808	2896	17562	300	1133	2930	1987	11430	572049	18090	16691	278144	1823	1297	19534	0	3907	2590586	43778	3754	0	17689	28750	5240	2341016	100	1394	37351	16235	1409	20920	16692	1889	27154	17377	19817	20980	2781	187286	5575	13595	1396991	46104	25347	1398	341455	4126	35250	1169584	293547	22886	8501	4559	1595	10433	4199	16605	12641	8000	11451	863	2100	16759	106922	900	12691	36981	15368	1647	195970	73776	7567	18492	1722	12794	217824	4819	1347	379	2207	3801	3194
ENSG00000134184.12	147276	18637	7292	2892	495185	2837	24303	31017	6873	16997	7019	31835	29378	14266	37755	49312	831624	2541596	100745	15313	33592	62140	48004	58213	2766	263012	717364	37467	2903	646527	165711	2199	25885	2215	6781	13601	743784	7601	52915	78687	22641	44684	385878	12077	4168	547957	8249	20410	114619	2319538	2900	9835	27533	23198	11840	45273	420464	481332	14377	9855	969097	16267	494861	6547	649598	24565	22862	228827	17054	49846	1101	135528	3094	28932	38001	451513	19637	909278	29886	74675	14569	46121	27834	14966	10787	551546	6815	509614	12960	27114	126868	46727	73141	21341	16121	16390	69182	41278	31624	2499
ENSG00000115255.10	79945	421948	13321	105140	375315	248725	894625	1350634	14711	340259	6987	894844	991631	108982	13359	179665	427071	588274	130923	46347	607071	86539	247528	455180	110077	94591	213894	416016	143370	109296	99361	87383	553974	74053	71593	546189	66291	374621	7168	391184	112600	217029	1286817	24106	8286	238172	587349	426009	709307	1511121	130912	236744	515070	156859	718662	171067	653451	522074	348469	115830	103775	132413	586277	292303	1897	556228	523605	28998	577844	76455	45783	715190	231886	618166	397310	176269	731557	387489	282513	2158268	520412	3444	12747	69163	296321	432584	715697	112148	153935	172449	102731	2138	434422	1834726	15341	120294	4899	12285	1066891	11410
ENSG00000158864.12	799775	1242057	1028925	473727	614938	1166502	1170955	583013	1222860	461886	1047733	1160206	841932	539455	548505	588141	1139936	1260118	1519805	575857	629230	1086751	708605	432565	323761	483938	1432219	956328	1014579	662808	1710875	676254	452550	366892	1458302	1245391	481663	1152847	367124	696629	526394	649045	1065778	2355383	397101	313642	522799	878053	816933	915390	1313794	1127773	577059	1225433	947318	764110	1897983	673957	435519	1270596	426581	1000534	1552030	842593	1349890	718009	972322	1091984	968377	910423	546902	1118789	823284	575883	374863	1163100	359305	1282859	570950	995774	791828	240983	523929	653913	973947	1275162	830243	872281	1441578	351826	567901	961013	574145	709246	833569	1492381	1639702	1241354	1375313	788971
ENSG00000152102.17	527296	727742	1080983	561387	1156761	525501	352288	230101	1057196	697954	799978	834049	654661	434473	270250	358496	1141163	1367154	852933	650693	426338	654900	458106	252643	158277	421169	902115	445150	1121903	740903	953934	393500	530316	361992	885815	774405	1133664	701887	316713	763622	229257	311383	468817	1426839	188421	326981	621201	607679	581625	1055827	812227	940147	947653	1081598	577133	642678	1080452	487445	338926	790385	682344	1342991	2129449	484348	1839133	627948	640518	1366210	718996	901848	366116	766150	459924	509607	645451	2047900	382133	418066	356359	489144	794717	520561	603940	985085	1092783	791216	356708	384163	817097	429287	873031	883593	549041	537193	1630761	871035	825623	1655145	430213	1435743
ENSG00000101350.7	1029882	746788	682301	625827	681334	1577237	426056	257372	408373	395735	675092	687798	575250	513674	158213	375892	790924	2202547	383715	705429	469927	673809	470480	326259	179790	504440	740275	723014	1594287	632435	504205	265244	461779	265304	453939	767714	904945	769387	123356	638618	383188	443916	738881	547360	81485	281438	688134	548265	652788	476942	684089	658846	959375	1749080	651862	335318	880104	236068	264379	756689	444048	1619239	973131	531700	485979	954156	729966	2333567	577966	924125	818709	753471	608652	629611	289769	616919	217239	668388	202651	419612	512931	272800	694748	1210727	709818	1273087	423607	884442	1344199	303103	454014	585253	350653	380530	432187	534992	363975	429797	500551	601022
ENSG00000259479.6	226555	208205	129373	280537	546004	1063298	270672	103515	116477	188241	123951	1558170	710939	499770	74212	567653	446253	1118220	254033	619197	262345	47298	435998	693130	338387	703351	770215	370853	498858	337940	110602	166984	520407	140962	300349	876969	345492	1574223	36663	230308	151661	255253	417966	652505	48226	80028	104107	222904	154541	193853	146281	163906	183579	2726984	438741	121501	330439	150743	506227	150989	92228	1601253	279266	89478	211898	285546	407738	538930	232873	503678	169365	578604	463347	186196	100242	77715	91847	116620	69782	200653	287564	85547	119329	574926	89666	463655	94695	191969	283031	144279	40887	49625	34580	274188	606426	257349	144205	222563	518588	60379
ENSG00000151465.13	278487	374748	578797	280195	342669	3187412	321798	224049	2211185	206956	390870	503034	219069	314647	237531	397652	337910	257168	586149	472402	368478	528476	352669	257799	176149	306291	447221	540335	313418	535074	895462	779460	253307	259905	946476	411530	1605752	661944	360928	387903	142958	295965	221095	771838	423558	202216	235914	173410	370182	299410	439716	360833	342800	371440	203104	881714	344063	389626	490252	257838	246161	601106	696645	312801	774301	246373	305681	276113	359282	386925	274200	374146	474941	562889	157563	373231	216903	462677	221567	311130	270510	158881	339053	533540	340731	337808	259427	429506	580108	232917	314051	530411	135526	247106	435726	402368	913846	785646	374569	357129
ENSG00000166747.12	762462	607145	1148410	484359	873863	791039	241127	296304	1058949	365456	1164545	789052	539500	1074411	139032	494822	1049694	1308537	680186	414855	953467	1033772	573520	549376	231624	489732	675881	1117117	1824063	691880	645444	568231	367697	211156	808339	1005735	694438	625935	168529	692354	403072	383582	368802	1114934	207188	289822	901302	1139815	509832	620530	958112	565289	777707	977344	1088792	619160	833554	349219	625613	949316	436571	919382	1579805	409285	1360460	780479	808669	1801417	629293	1060435	436862	1085627	568285	628304	444342	1109679	265346	874036	244807	380672	880313	383715	471551	819073	673611	1028845	396757	1034644	791759	342458	951946	2579664	387293	364686	1435696	668167	456117	902609	456921	714930
ENSG00000122642.10	1170402	414602	1018283	422813	982742	1177272	695358	465313	867960	897290	592555	860113	714879	501639	838029	576781	1090336	888115	866557	552401	1071879	834467	697146	568063	502185	444456	952202	1091639	760073	544350	1107721	651643	546982	123076	609693	966286	961967	789272	117966	777208	297215	615283	346499	892493	235466	341969	1045105	737448	884364	920889	1213222	761668	1045727	1455608	499000	846443	688365	490866	461972	616766	1277589	1836919	797738	535964	1623427	1287652	638505	697736	1475705	1360944	554052	577270	598528	738379	557219	1691852	575177	1289244	366582	614449	1150823	558431	1035763	1206575	1217195	1180735	431137	540969	2188042	992854	1271393	2170928	700787	538829	989490	400016	817520	702140	883669	1619980
ENSG00000225733.5	825542	885741	1201002	903612	1180740	801937	343502	563043	1348270	717089	686625	931037	732951	439514	251353	499733	1414757	2013696	473252	2128402	909561	1017367	642354	314110	386021	664135	915801	1227991	1732921	1479855	586376	402710	638145	235058	491254	1127486	1633077	1486772	130436	687766	547553	444132	408540	1103223	294515	497383	688652	652169	782789	744649	548903	720135	1063858	1554342	985156	651528	726507	505510	416545	838931	869668	1131638	1837095	888691	912151	962563	542035	1623612	772120	1074462	901602	911736	470218	535000	600958	825029	429513	1089171	207195	577629	1083595	443583	815225	828659	974841	918832	327813	795451	1031686	525632	828336	763139	634547	590044	1292106	781664	1087367	1022721	569138	647678
ENSG00000091656.15	111728	18831	175292	17934	49886	54788	31293	40841	41101	188949	13426	83516	114765	24505	205009	12064	158749	60910	19533	30892	101606	20775	57537	15454	42066	11224	41832	103310	133327	41644	36452	21944	58783	5985	13953	18296	101638	57566	192	96844	51128	26734	13988	42541	6181	29267	130027	72593	94647	143171	8861	115158	131807	112678	93059	29950	44040	20100	18207	56470	148302	244979	50280	34514	141564	137053	11746	2895	251268	155733	70044	29652	100210	46322	60576	106351	60106	207576	21475	28333	184869	3974088	17227	139799	151154	78777	13319	82178	144129	64388	67839	25775	72954	55316	85798	10823	39864	71688	80348	31276
ENSG00000168137.15	625704	835255	1312222	727954	968346	993537	269829	452211	1340407	593388	714931	681442	749216	508647	271655	344092	1563520	1990422	516856	2152947	695359	1232956	758391	226780	214872	406361	699916	913368	1850360	843687	756323	444340	441086	265669	342570	705336	737348	995197	244090	596498	708884	388679	271493	932843	316290	228684	581813	911891	564808	1009578	774227	665485	1086491	1142218	826056	823523	825052	339363	361988	807717	693061	1063950	1437826	713434	1124757	988515	579948	1305811	873603	951805	323928	888994	446932	639324	501025	851457	314343	1080583	201540	387082	524462	1944423	799339	964413	845930	712742	217934	987846	760379	466920	830832	776912	542609	714320	1200320	1065295	1238422	1009571	686853	668140
ENSG00000125970.11	1000425	1137097	984413	564795	651458	2302028	1590251	617391	1389235	668945	940091	960125	592006	696199	1051842	842354	827074	935051	1830096	910477	748002	1386727	1015741	1002820	450052	1091058	765537	869841	1505839	631202	973798	719723	611509	385987	2064011	806400	903953	1307919	991884	621715	913122	1025072	603166	859786	611198	289196	1027434	499484	1157028	1117393	1734451	767708	797280	1041466	759771	1852748	837751	928230	878153	416652	470101	1561893	1446815	825010	686402	851014	803301	942728	672782	1094853	596009	857599	1830019	789584	509145	897382	568150	2071142	709845	1273927	580320	382841	1447779	883144	658263	1174204	727789	840422	1277646	866842	691432	743719	703316	900217	1220127	805911	1163605	969243	903115	1756640
ENSG00000116062.14	667262	978163	1536826	577981	786822	1242536	622849	440692	1408506	422874	953252	797026	495615	1152167	484063	560340	828268	1953794	838671	1698655	743989	437158	597504	497597	358901	558712	817111	914180	962519	1298989	901732	1011669	445720	312225	806856	975138	711548	1068925	392742	616342	470670	603549	415542	1008059	238201	252781	578312	727900	531552	544330	2286455	803980	792521	842384	526106	1206063	761103	412440	527651	624237	494474	980124	1517619	760829	1425983	608828	452165	886578	579465	797080	720624	631941	725622	593731	346426	1018347	275115	978851	318399	504720	627186	698418	897358	828185	792231	726572	304604	971181	881570	532604	695758	1739256	392980	588037	1236587	693752	1993700	1407165	600343	1244995
ENSG00000211674.2	7668	3684	83507	15601	24056	48852	9409	12234	323790	33830	272717	17987	13001	101441	427	22303	119533	4459	351091	0	46771	80407	123737	3345	44056	1903	5453	76827	401642	2371	421878	121150	83525	16013	61185	1492	54690	2299916	1699	106200	9486	76819	4404	15060	442825	1498	2200580	117977	139294	6042	72096	48370	5337	25137	313141	24055	1438	43182	25366	502	3751	15848	26914	49720	64221	47998	1998	4753	56074	10043	3823	16479	69280	24801	27188	16351	33731	87917	14556	2432	3367	11	1156523	8314	2871	2809	21560	2721	421	3674	22915	144382	245083	6769	2207	19393	2117210	319394	17267	252718
ENSG00000112514.15	540866	739544	577110	660643	765871	598534	1575707	588329	1688383	508265	439216	1131972	479520	419766	841019	807971	822452	582176	1480416	449302	759966	708955	786395	1241395	276141	1370309	1612887	435078	796393	963425	873182	628763	519002	201934	2361569	772561	690870	706394	609666	475893	593520	902647	1505669	898954	465210	232379	559007	275307	1188929	756929	773506	505356	679359	593344	518191	2001989	883847	654867	408156	642932	539732	658703	889514	610120	865628	601987	1696162	1041420	527249	713228	381604	1257607	464695	340783	367257	579920	544458	985881	841804	1531027	417324	273831	697887	489455	498242	906191	1018317	513558	837709	444626	636912	367831	396559	810896	1134499	681216	1492898	774528	874646	733158
ENSG00000210144.1	245057	300024	535329	259989	403081	31440	561640	693885	318828	507512	502571	1012773	240659	141137	48467	574764	674010	669708	951982	118878	649010	211450	467585	1113418	95574	780029	176379	79395	77207	1173320	253460	448247	225831	151827	2305305	106022	175908	487844	2179586	418853	201168	334030	139566	975291	798592	156671	599544	222705	535259	437422	359164	253466	427504	199827	296250	1515682	395703	790545	1072150	148339	302959	81100	275691	495251	131559	211738	532734	494493	313397	172836	553278	455552	140387	443768	301689	327196	131564	594609	870662	1450979	401355	18788	517363	92518	237950	867247	500172	443651	350701	219553	283264	283227	344895	339249	483739	53300	399422	595469	699522	300028
ENSG00000164466.12	358715	228889	606930	161612	255874	358918	222399	157201	225610	141385	525395	238988	154305	194620	109715	303215	355281	1240243	158078	471472	232219	324188	256567	256151	85024	297948	536506	300436	424564	435372	165976	173886	96167	86762	202020	159667	366122	152907	93767	240702	352879	187972	218269	216658	90337	112512	231228	187503	404248	230034	362775	171504	295907	410934	141680	266630	250491	154525	212077	215624	185414	492325	253211	253183	263500	296008	3834171	624039	225984	262817	248915	279706	158685	184259	112279	300156	82813	560560	85889	150384	158566	204987	148030	209317	277087	196889	889594	374989	337085	83035	190109	222920	94636	169446	307295	344232	297368	196087	168352	188503
ENSG00000143222.11	738701	693489	1060250	413595	719960	865502	1819362	701498	1515707	558949	626284	1507332	541604	683955	531715	598123	869762	688188	1657592	334285	806645	927324	658534	805375	378824	543132	1428534	1372776	847307	1088838	1295959	467029	393233	353850	2261623	1241903	585047	1381289	682540	641454	362350	620991	1068845	1697685	540610	282599	696511	1018958	841435	917031	754289	1124801	597830	974127	888934	794319	1489284	802675	553407	1147045	550015	776976	974220	1280057	1028284	655185	543222	984088	991906	1371240	743447	913579	803946	476855	308602	1911461	347293	1197958	792962	1395760	778333	185487	646888	818369	1033034	1330420	1119978	541135	1543067	475164	713819	814016	692668	763392	756202	965278	1537023	1167236	1091038	736335
ENSG00000119699.7	224027	186684	456070	380382	512956	451640	925183	714513	109837	1172669	71441	840179	562413	359088	2288978	492688	2251828	1397615	108807	123507	503171	160917	208884	213490	143714	147833	626703	244304	741632	934169	137023	56953	369417	368495	148342	234447	752454	394801	20359	693382	147180	173258	314467	58215	53950	158555	479263	353351	1033764	884061	251860	809871	1040570	448967	648889	176989	235056	404060	293720	84309	386644	1205289	467472	367676	128542	808301	328830	283615	990992	633502	272330	144995	593855	230903	631250	475740	394241	559090	287248	472600	572435	233102	91097	484117	584711	841528	355366	168963	728256	361673	898205	120617	717915	282322	352002	418912	106840	253248	752839	103947
ENSG00000135916.15	234150	215816	904331	38035	184100	257475	257326	140704	963921	321336	273808	252212	156062	191178	987170	115789	331339	177774	1760116	589668	330731	284017	186593	126387	162254	134374	108401	150715	148125	34717	821787	215392	145089	56078	465067	79130	338402	991120	277289	394347	376322	117938	80750	374788	623673	64869	2043533	192548	476848	318020	1253274	258123	207169	155925	347984	968811	150945	436852	124010	179221	272096	269374	640213	683273	747504	282890	66144	59583	475478	367885	125452	350914	353936	125321	175922	215576	223505	378793	283089	187464	254772	507609	1136185	118738	212829	260162	124364	233396	204588	146970	896340	920122	909347	67948	247677	81018	1202176	1932048	230513	806701
ENSG00000166734.18	799445	544496	1147444	623864	1146353	796330	440047	535869	415452	639458	587856	1011575	933279	453426	224174	748746	1413741	1831950	348549	928343	1403111	567515	865223	686933	332257	1080606	1505363	980122	1503565	2023898	480358	391556	417646	252283	368651	894583	1444272	866031	170676	576080	312116	495608	527560	683306	218270	408466	577285	636292	807030	785930	384831	596129	1022151	1371303	552554	395543	925360	488448	501374	1382608	844013	1970350	405916	861154	943601	1010864	856615	1496196	909455	910010	928873	1050105	383569	472386	496007	859690	393260	687024	240922	411386	1024427	464169	450090	1052783	984353	981237	455106	751695	999804	647049	1601692	917139	397565	457002	662344	608863	457004	644614	706297	335066
ENSG00000137207.11	588530	575062	736439	562313	636641	1284707	869496	542749	1670204	670181	411346	1114705	805463	754521	591740	872949	851300	1396259	2982383	329511	771737	651067	843940	900433	378708	1225374	1407814	621978	865055	976719	782532	651602	558756	334395	1977428	953124	692529	707524	377215	731482	648773	594491	1024548	553971	661974	277464	760057	732439	1084664	1034375	571749	641258	791171	721871	852683	1417744	923970	588357	510188	734583	582857	1064659	1410582	615028	1065266	813601	1476229	1150790	665498	957389	457928	1780567	745648	528350	438048	550916	427750	1191511	530318	1030695	675754	164997	542688	800757	619965	1019716	970556	569355	848105	568632	862051	530948	617564	813139	883893	1146879	762709	1505295	966615	555867
ENSG00000198242.13	1001780	1716427	797751	218400	1615473	982816	1169979	530832	419693	455374	452333	863586	265150	1737985	825168	621524	533490	928928	486114	265382	589734	431699	722745	536979	1391755	489510	1304562	1369835	1781409	1075330	369469	340190	432729	246239	751379	492976	536286	583480	614276	488841	428146	634763	1016412	1200658	209511	259822	466907	167216	821142	426560	388349	392962	689271	1135799	328964	695616	733114	441832	2157636	407590	495659	901231	724095	775583	263757	301632	1007967	1093330	573120	593072	883808	464451	997385	269487	292488	1297744	477869	754368	1005729	823467	401887	165064	376281	848697	602523	901450	777202	198980	1063531	477729	625510	290869	328435	463215	1084966	689106	923015	613373	511282	444321
ENSG00000134339.8	45633	10728	334373	22245	189383	13373	123059	27987	593231	124136	460300	102966	230017	3399	750	41226	3689	12813	53991	3477	16056	669618	132475	105844	10391	30364	39631	2155	225058	4928	30149	273315	19122	12890	397468	44740	14570	65881	29894	150133	17470	9807	11930	96993	690135	10093	29477	19278	1455991	194538	12691	1091458	219899	4201	177019	23130	9031	327170	97934	128088	12256	5077	815	160473	392651	191015	10901	171	23478	3287	10339	28852	97933	83333	109857	4216	82683	23633	1438628	189089	89030	100	174987	99572	16445	469057	8885	1449	4160	94564	3115722	75457	36137	894	24141	5121	36494	295682	21235	75258
ENSG00000176658.16	852350	745095	887769	360168	852615	1099781	309709	366966	222922	715877	379706	1083058	630379	1541294	425065	582656	603306	759727	1114473	679723	938642	123951	412959	281350	271208	485757	1157538	728244	983377	323513	944818	429162	549567	171022	616837	1194072	1316116	512520	96608	704127	430918	483085	929051	782483	174558	309954	765976	816402	650868	737640	1353777	609982	819814	1417723	551340	1154736	1055522	339725	1110044	1002973	1193641	1363378	1922415	599830	664572	820604	1808208	391814	1210940	953178	567147	971844	733118	582877	463594	822589	490918	801294	285208	466508	938941	87889	320229	1195889	1391121	949641	463079	302233	1661036	715918	836279	1508946	612941	305505	971831	752733	1013930	1319072	674975	296358
ENSG00000140740.10	791651	1291830	1374915	719949	2232986	1758210	904059	608292	992392	564949	1439528	1136767	1110215	944214	606926	1059783	1060183	1601581	1764789	683831	1236585	741696	718657	388272	434438	774511	2111102	877975	1428304	1543337	922150	830043	1428345	733349	996857	1340603	870308	893885	249649	1009813	492524	593093	1358959	977812	322867	731644	792920	527883	1060755	942283	1592385	1212936	897365	1777239	1394257	730180	1759137	769064	601403	727821	545652	1471035	1241199	1068975	1349490	991909	1056555	1534556	1074874	971452	946234	1281708	734892	642765	541976	1271128	764016	941961	648185	735182	900240	500128	799607	598411	1227468	1556026	1067687	694309	1788684	563825	990448	665851	569066	800886	996861	973034	1168740	1004706	1132050	1272283
ENSG00000107290.13	575803	453244	2010358	408941	928722	645213	291339	185409	467951	433331	570405	646474	673960	519441	198915	355501	801651	1249370	279744	405409	586696	2553676	471310	220395	197482	361449	811223	1118952	1341196	438515	518583	341471	326442	236843	192160	967158	1026564	698417	130197	616394	224133	198930	295475	639236	137953	208573	727676	652084	654871	606939	521167	841410	792073	878822	781915	324326	671009	331615	218702	707256	516030	1184722	795539	544586	1117283	774254	317675	1007987	996585	799167	1557450	498292	446177	411163	380251	529132	202853	865256	204692	282565	728189	664915	601358	1164919	931547	844784	170377	472571	657959	309461	1207494	1449392	613788	413496	554630	721778	808122	619710	535402	524299
ENSG00000130589.16	423687	121187	447397	153121	297985	536177	299447	133299	316089	194565	542886	144697	459516	151125	68141	635615	189084	1092736	660387	326611	169743	1524203	797966	296983	95110	198592	671041	246676	1164183	89401	638972	505737	104379	255695	288636	274634	960263	257797	81860	605680	232017	293256	450645	206727	244846	71933	506609	741211	757920	723671	155126	301281	246210	158311	268851	442094	269444	585920	246490	505557	221992	335359	564880	211027	248101	278449	594970	2630945	354487	195702	651182	758436	96959	971974	240352	459295	95406	1908572	83187	220939	241704	151006	584290	470499	253407	322145	277414	289203	305802	293836	260547	1534268	481530	802965	504066	191837	206214	707685	441307	216987
ENSG00000116754.13	528589	670356	1139811	363563	963409	769327	678959	686887	1801019	745841	1470776	968043	706199	548761	522483	709344	1822369	1731157	905139	1394683	1180311	1089955	1109224	585440	260482	841077	838769	1342331	1068604	990003	607178	465047	510515	425970	870707	803449	1372159	917309	711536	892840	397629	504680	492595	1294839	633983	348892	524343	382768	1815983	1498899	702878	624918	1187151	1194114	790652	1548123	890804	640885	382602	587847	505108	1037605	752802	902988	735346	990967	619482	2142773	1053062	1143615	675117	475531	450665	782781	806222	698046	370848	649082	414405	717187	748157	716963	649085	1391324	1135026	1094289	354125	501926	698935	548305	802212	1077183	539877	826479	2018348	499072	844392	791236	1103729	667129
ENSG00000116478.11	656116	528424	1085419	402713	742432	845617	409269	511261	1135448	409813	1615992	938112	369089	359226	477710	471957	927492	395535	1228007	1093818	651098	772852	748165	487073	126555	649469	713551	910479	678227	406905	654618	785697	459654	295680	779962	872506	1286260	694345	890375	1013349	359389	699185	397795	904628	414193	335193	545887	64174	1117656	927028	823411	549878	742155	776893	649641	987908	658068	527443	833202	291265	308786	876809	1252443	655645	606756	438116	356880	2744862	408152	711157	372951	968426	469252	535817	436568	774117	336033	1172614	436957	788109	416666	279897	500383	1016579	559781	1232714	104121	524089	945829	584793	654936	965218	333613	712378	2183661	860769	575958	1533936	648859	687808
