TCGA-BH-A0HX-01A-21R-A056-07	TCGA-AO-A0J7-01A-11R-A034-07	TCGA-A2-A25F-01A-11R-A169-07	TCGA-AR-A0U3-01A-11R-A109-07	TCGA-A2-A259-01A-11R-A16F-07	TCGA-AN-A0AJ-01A-11R-A00Z-07	TCGA-E9-A6HE-01A-11R-A31O-07	TCGA-EW-A1P3-01A-11R-A144-07	TCGA-E2-A1LI-01A-12R-A157-07	TCGA-HN-A2OB-01A-21R-A27Q-07	TCGA-BH-A0DL-01A-11R-A115-07	TCGA-E9-A227-01A-11R-A157-07	TCGA-E2-A1IL-01A-11R-A14D-07	TCGA-C8-A1HK-01A-21R-A13Q-07	TCGA-AC-A7VC-01A-11R-A352-07	TCGA-OL-A66H-01A-11R-A29R-07	TCGA-A8-A0A2-01A-11R-A034-07	TCGA-E2-A15R-01A-11R-A115-07	TCGA-A2-A3XX-01A-21R-A239-07	TCGA-D8-A13Y-01A-11R-A115-07	TCGA-AN-A0XV-01A-11R-A109-07	TCGA-AO-A128-01A-11R-A10J-07	TCGA-A8-A09M-01A-11R-A00Z-07	TCGA-AO-A03T-01A-21R-A034-07	TCGA-BH-A0DZ-01A-11R-A00Z-07	TCGA-E2-A56Z-01A-12R-A29R-07	TCGA-BH-A0HO-01A-11R-A034-07	TCGA-A2-A25B-01A-11R-A169-07	TCGA-A2-A1FW-01A-11R-A13Q-07	TCGA-AO-A1KP-01A-11R-A13Q-07	TCGA-BH-A0B3-01A-11R-A056-07	TCGA-BH-A1F6-01A-11R-A13Q-07	TCGA-EW-A1P6-01A-11R-A144-07	TCGA-A8-A08B-01A-11R-A00Z-07	TCGA-B6-A409-01A-11R-A24H-07	TCGA-BH-A0BS-01A-11R-A12P-07	TCGA-A7-A2KD-01A-31R-A21T-07	TCGA-C8-A278-01A-11R-A169-07	TCGA-AQ-A54N-01A-11R-A266-07	TCGA-AC-A2FO-01A-11R-A180-07	TCGA-A2-A4S3-01A-21R-A266-07	TCGA-AO-A1KQ-01A-11R-A13Q-07	TCGA-AO-A12B-01A-11R-A10J-07	TCGA-A8-A07O-01A-11R-A00Z-07	TCGA-E2-A1LH-01A-11R-A14D-07	TCGA-A8-A09T-01A-11R-A00Z-07	TCGA-A8-A0A7-01A-11R-A00Z-07	TCGA-A8-A07I-01A-11R-A00Z-07	TCGA-EW-A3E8-01B-11R-A24H-07	TCGA-AC-A3W7-01A-11R-A22K-07	TCGA-D8-A143-01A-11R-A115-07	TCGA-BH-A18F-01A-11R-A12D-07	TCGA-BH-A0W4-01A-11R-A109-07	TCGA-D8-A1XS-01A-11R-A14M-07	TCGA-BH-A0BA-01A-11R-A056-07	TCGA-A2-A3XS-01A-11R-A22U-07	TCGA-A8-A07S-01A-11R-A034-07	TCGA-LL-A73Z-01A-11R-A32P-07	TCGA-BH-A0HB-01A-11R-A056-07	TCGA-D8-A1XG-01A-11R-A14D-07	TCGA-AN-A0XN-01A-21R-A109-07	TCGA-D8-A1JD-01A-11R-A13Q-07	TCGA-A8-A08L-01A-11R-A00Z-07	TCGA-GM-A2DN-01A-11R-A180-07	TCGA-BH-A18V-01A-11R-A12D-07	TCGA-D8-A146-01A-31R-A115-07	TCGA-A7-A3RF-01A-11R-A22K-07	TCGA-A8-A06N-01A-11R-A00Z-07	TCGA-D8-A141-01A-11R-A115-07	TCGA-AN-A041-01A-11R-A034-07	TCGA-A7-A26J-01A-11R-A277-07	TCGA-E2-A106-01A-11R-A10J-07	TCGA-C8-A135-01A-11R-A115-07	TCGA-BH-A0GY-01A-11R-A056-07	TCGA-D8-A4Z1-01A-21R-A266-07	TCGA-E9-A1NA-01A-11R-A144-07	TCGA-A2-A0CP-01A-11R-A034-07	TCGA-BH-A0BZ-01A-31R-A12P-07	TCGA-Z7-A8R5-01A-42R-A41B-07	TCGA-AC-A3TN-01A-11R-A22K-07	TCGA-AO-A0JF-01A-11R-A056-07	TCGA-AC-A2QH-01B-04R-A22O-07	TCGA-C8-A12V-01A-11R-A115-07	TCGA-AR-A24S-01A-11R-A169-07	TCGA-A8-A08Z-01A-21R-A00Z-07	TCGA-B6-A1KI-01A-11R-A14M-07	TCGA-LL-A9Q3-01A-11R-A41B-07	TCGA-A8-A08F-01A-11R-A00Z-07	TCGA-D8-A1Y1-01A-21R-A14M-07	TCGA-GM-A2DL-01A-11R-A18M-07	TCGA-AO-A03U-01B-21R-A10J-07	TCGA-BH-A0BW-01A-11R-A115-07	TCGA-D8-A73U-01A-11R-A33J-07	TCGA-AN-A0XR-01A-11R-A109-07	TCGA-AN-A0FY-01A-11R-A034-07	TCGA-AN-A0AK-01A-21R-A00Z-07	TCGA-BH-A1FC-01A-11R-A13Q-07	TCGA-A8-A08R-01A-11R-A034-07	TCGA-D8-A3Z6-01A-11R-A239-07	TCGA-A1-A0SP-01A-11R-A084-07 
ENSG00000012223.12	82780	145671	172084	946500	153668	34524	348419	605910	11582217	918505	1737573	2242507	8133213	87420	19864	300017	20675	126841	380498	7670	86710	62222823	109910	2568482	106094	49111	5726530	4525	215656	7308	428455	852742	107898	459764	3937091	6737532	1729531	4086069	406669	219604	46649	67681	117323	3488487	1663225	183642	535996	32694	398131	30249759	3255222	1005807	189633	156548	694221	96908	55714875	3257264	111107	5393271	52126	12163	58900	105282162	1033125	6528655	974120	4223	16257146	74940	71310	9419	829249	1105131	1489751	18428	491335	22663	13987537	5222834	40811732	195	24441144	91652	30262	60273527	511878	122049	3537	55563	317879856	108480	50068855	3319620	66827	10701	310819	300522	32205805	60854
ENSG00000115414.18	36576950	14366122	52176199	9312169	16745631	22134141	17278868	9006037	4538859	21410620	22664161	24343700	22530304	7191580	73515327	5170194	32235372	17676102	13031795	12755244	30111852	19675429	15391885	2858679	35995787	8122616	16936543	57546576	17891576	17913401	93824883	18772210	21827393	17994694	7946578	11386756	53658311	48499280	344328	9423212	22614285	9324986	2898948	16077606	4748260	22089594	37743334	51064029	13116287	30040388	10257126	29467978	47696137	61150385	10075203	10771595	23777626	7150163	11535808	41855756	244268278	106830747	23735477	13369713	23765897	55272653	13304174	2865267	114673006	86825265	15292400	6479446	29665303	31766001	4725542	51936999	27819010	70828753	2268385	10206801	30670941	64924782	14861091	95791146	96661072	24871548	6900372	49896699	118956566	55714947	54643304	25522417	18468890	16257107	63705124	10016009	8219779	24127670	22820082	12844003
ENSG00000198886.2	32260617	38000535	38903287	24340449	34349225	33416845	14056412	68858434	91300840	31292206	44196846	97878926	28495041	53199111	25407577	21099502	75277702	90211678	45814518	51716118	67776881	20863458	76167109	293174844	11905661	47610292	35319438	59898367	56766267	115237011	25468129	20547106	43184332	14263766	72065174	32488999	29078766	92969135	36000716	27625827	51169055	35492884	17129469	67893217	85691225	11923719	37939182	25485596	29018936	28394044	18358397	21306728	26807234	47996472	47857883	55805620	32199654	50823262	77670641	20432145	42936057	26015378	95912688	31077565	20601722	38412250	66692252	53095881	29847114	63031274	251908	39544921	57245821	43925566	17226705	20017832	54434958	33875699	19723638	39084674	28880533	7644810	36132137	70241139	25690148	69007278	24112956	45543893	53309621	62939315	43252945	19358423	16443541	27436555	54487776	27899202	24423182	51728429	48174845	31178774
ENSG00000211459.2	3457082	4436981	5308765	1903819	7173497	5221798	3325197	4831775	10617785	2414905	7112388	6710714	970169	2068061	1952721	3108371	3913481	6982391	3556908	3409025	7337137	2059283	5883681	6231173	4021756	4965066	3165328	6076392	4581583	9212863	1666780	4147097	4175757	1812580	14281054	1894801	1938619	8091077	11342974	2476818	1748895	3250194	1363636	6744150	14602177	2259042	3801336	1470623	3123906	2410870	1304995	2494115	2174004	3728444	3292041	4845125	2370995	13638325	4914463	1183532	2100273	7801391	3299159	2683936	1979841	2714668	3730122	3657979	2503997	3153022	1177172	2733696	6186650	4377941	2096296	2625968	7365973	2877060	3786216	4637042	3071448	314482283	3734980	5853738	2555226	5862611	4947072	2612162	7189170	4869319	2728183	1277952	2383983	3766820	4936202	2713252	3069037	2906876	8295702	2842300
ENSG00000108821.13	35133263	28751909	46595670	6611057	21264949	31060178	48711596	19268641	4894822	99544708	12373084	45113646	47989700	10739832	88678470	18144518	62506936	33728386	20273770	19857687	31159992	12394403	15791773	10517733	35917104	11708290	22265363	31585799	13995524	32397083	31030001	20016828	20822643	4069894	16061953	6034601	63825868	44255067	109150	25701103	18762855	23832468	3824298	26824268	8055502	12996724	47846788	47912727	38289609	120360944	10342224	42603334	61818442	48960959	19542501	25201122	33336131	17935581	24278443	17084635	76701393	100651881	33484130	15478855	28771850	67699838	17792157	1035054	153315260	102686425	4487596	13967115	32947031	23571374	16970993	103196467	78899102	61356022	12340433	52047953	75071661	5419312	7640773	48263384	57586128	42160284	28615002	52148286	133877079	43542654	46592341	11884364	64326176	30336153	78535167	9395706	14157142	23461473	77710516	17777590
ENSG00000164692.17	28590867	20820711	40314788	4958700	17823629	25493903	31863827	11538324	3638644	66826984	8379979	33711194	30773541	6748201	44681500	10862437	50235085	27264973	12047454	13826345	29050864	9352972	11918002	5481810	28620888	8583826	18320578	30397626	13135780	21087451	19913291	13709490	15815530	3627897	9163595	5875622	44703061	41881265	40312	24233097	9905945	13330689	3311911	16937899	4592453	14457136	36752899	36813147	26138075	59481322	6389970	33833441	42627554	54619304	15373815	15132595	25837545	13489948	13208399	16093757	62979034	91452794	22510031	12080778	20985566	51360807	10579360	937343	108237269	82888806	11365827	8334302	20777998	18368555	11968713	89689468	37433618	49305731	8547044	26182062	67531779	3992635	5701793	43534224	53370108	35043065	15651101	29833032	112262985	35471564	33693519	12550899	39722706	18792185	58508575	6755405	10636789	19330070	37968617	11476194
ENSG00000198712.1	17905883	23362809	18101492	14458792	20311561	21824980	20143400	34222625	48619828	14730775	20952806	45733849	10266993	22591352	21509028	19334411	39944747	41625710	29932111	29074753	35829511	16251745	53084587	208843645	7917148	41506122	18792276	34350577	41100530	42929552	15509132	21638282	19760645	7292645	79046694	14550228	13982781	44103494	22160961	14888475	17926859	28592635	16311160	27682401	48038369	6417423	16166954	14228903	30371542	15711208	8253088	9925675	12618097	30504693	18636547	50386032	15879735	38124733	42013281	14099463	17693230	21855025	32166419	17461459	14690719	26346869	32151611	32330309	14018691	31095375	837392	18410543	34068822	28301492	7390468	13239635	20349356	21083505	23504051	28506232	11712395	2871253	22251036	42303086	15380754	37898063	28151093	15282286	29062326	43099320	18586191	8558157	8891712	17426855	38890272	17133616	17188036	24158350	38920340	22206628
ENSG00000198938.2	21161478	36104414	24526387	15923706	27793083	22562305	21144006	45164359	48267752	28574942	30725748	46772251	14650287	33170399	22820029	19115957	62128078	26307726	25904100	32630520	59044376	17747411	64812665	188590372	11266625	49665274	40212570	34334872	26200757	76003222	17534245	19567076	30891200	8265870	51760195	25594128	23433370	46258842	32812657	24184391	22522426	29865605	9231348	47131344	55141863	11869907	17857152	10660772	33888832	23294821	7865716	23334409	23957564	22307457	36671752	48028806	19031111	54954648	69885996	12491199	26210450	26046330	37588477	27369987	10128938	25279031	41772626	26111122	20136196	38508516	1092729	28993988	45630906	39270385	14028368	16001155	37662383	18854795	33147043	33467647	21503312	6798595	20972023	58111102	18587555	56793926	29212515	18782636	39185229	55821562	20313817	6982339	17250094	20451285	45729564	24824051	26042264	12042403	52690145	20111961
ENSG00000110484.6	6666	47792	200	25540	461172	690	65205	954775	2040	1166657	3272	47597585	4761	2261741	286	1727047	9342208	94590	66178	12565	11530166	1090	4050	43941390	18022	17679951	11284	251454	12870	794320	3470	698	16898764	22784004	143410	38440	7938852	2210696	2078	2517966	109046	602842	2186	1002	9349	125613	492	1611393	1919688	880606	25353	10371947	63542	2521422	11521236	462558	2015343	7537278	775796	1695325	2628856	3266748	9112	935839	396	677569	568	42860	300182	1993	728432	607792	41933	83919	4475875	100	3087463	34078	7128681	60149585	2915812	0	9611	3031614	812	153243818	287546	37689	892765	157063	114690314	379	34613174	3600248	275233	909353	0	7152	1514009	20568
ENSG00000111341.9	1702294	28862950	6199097	30654746	27155958	1402528	21658372	9716899	47804174	12369592	613522	2543201	2200834	3472707	1725802	803200	17957993	1222488	8897273	453067	30357246	514463	17957779	8132865	450464	13689109	1625901	400008	1811570	29863736	9149525	1381384	16528608	3626742	29381948	71669795	2034122	1701055	12430560	25222329	47905189	1998223	81885301	283313	2692988	1108131	3370944	700073	3868603	15320978	6106795	3216005	31888727	2340170	5706605	63092587	3273292	23870589	10681218	4512373	2530331	1964267	297205	13525906	36456467	10325582	771648	176454	9024317	3280849	1285841	12607969	2592048	3272427	21433771	226704	10677516	1395588	45770392	53784505	8388465	2074386	5269351	5518983	1820754	87374540	1182013	14534784	649625	3780931	119106065	4420579	1400734	7222017	443509	6543117	200124	12445318	19532069	10601352
